FILE,BAND,FWHM
KiDS_DR1.0_129.0_-0.5_g_sci.fits,g,0.8157955
KiDS_DR1.0_129.0_-0.5_i_sci.fits,i,0.7244191
KiDS_DR1.0_129.0_-0.5_r_sci.fits,r,0.7602186
KiDS_DR1.0_129.0_-0.5_u_sci.fits,u,0.700908
KiDS_DR1.0_129.4_2.5_g_sci.fits,g,0.6849445
KiDS_DR1.0_129.4_2.5_i_sci.fits,i,0.770289
KiDS_DR1.0_129.4_2.5_r_sci.fits,r,0.5816908
KiDS_DR1.0_129.4_2.5_u_sci.fits,u,0.9459529
KiDS_DR1.0_131.0_-1.5_g_sci.fits,g,0.7095381
KiDS_DR1.0_131.0_1.5_g_sci.fits,g,0.8531073
KiDS_DR1.0_131.0_-1.5_i_sci.fits,i,1.067119
KiDS_DR1.0_131.0_1.5_i_sci.fits,i,0.6944949
KiDS_DR1.0_131.0_-1.5_r_sci.fits,r,0.7908144
KiDS_DR1.0_131.0_1.5_r_sci.fits,r,0.5949459
KiDS_DR1.0_131.0_-1.5_u_sci.fits,u,0.6698113
KiDS_DR1.0_131.0_1.5_u_sci.fits,u,0.9814786
KiDS_DR1.0_131.4_2.5_g_sci.fits,g,0.8706116
KiDS_DR1.0_131.4_2.5_i_sci.fits,i,0.5334203
KiDS_DR1.0_131.4_2.5_r_sci.fits,r,0.7300366
KiDS_DR1.0_131.4_2.5_u_sci.fits,u,1.1255607
KiDS_DR1.0_132.4_2.5_g_sci.fits,g,0.8049136
KiDS_DR1.0_132.4_2.5_i_sci.fits,i,0.7921881
KiDS_DR1.0_132.4_2.5_r_sci.fits,r,0.7777921
KiDS_DR1.0_132.4_2.5_u_sci.fits,u,1.0046757
KiDS_DR1.0_135.0_0.5_g_sci.fits,g,0.7771043
KiDS_DR1.0_135.0_0.5_i_sci.fits,i,0.7863967
KiDS_DR1.0_135.0_0.5_r_sci.fits,r,0.6530327
KiDS_DR1.0_135.0_0.5_u_sci.fits,u,0.9808739
KiDS_DR1.0_135.0_-1.5_g_sci.fits,g,0.6472219
KiDS_DR1.0_135.0_-1.5_i_sci.fits,i,0.6656768
KiDS_DR1.0_135.0_-1.5_r_sci.fits,r,0.6435602
KiDS_DR1.0_135.0_-1.5_u_sci.fits,u,0.693953
KiDS_DR1.0_139.0_-1.5_g_sci.fits,g,0.7001474
KiDS_DR1.0_139.0_-1.5_i_sci.fits,i,1.0275592
KiDS_DR1.0_139.0_-1.5_r_sci.fits,r,0.6833639
KiDS_DR1.0_139.0_-1.5_u_sci.fits,u,0.8201587
KiDS_DR1.0_172.5_2.5_g_sci.fits,g,0.853093
KiDS_DR1.0_172.5_2.5_i_sci.fits,i,0.9496942
KiDS_DR1.0_172.5_2.5_r_sci.fits,r,0.6087344
KiDS_DR1.0_172.5_2.5_u_sci.fits,u,1.0066682
KiDS_DR1.0_173.0_-1.5_g_sci.fits,g,0.7204894
KiDS_DR1.0_173.0_-1.5_i_sci.fits,i,0.7177242
KiDS_DR1.0_173.0_-1.5_r_sci.fits,r,0.6250749
